umap1,umap2,cat
6.738523,-5.3357263,Alaskan ultramafic
6.841472,-5.400826,Alaskan ultramafic
6.8073063,-5.395967,Alaskan ultramafic
6.7638874,-5.338617,Alaskan ultramafic
6.786116,-5.372972,Alaskan ultramafic
6.936899,-5.5004,Alaskan ultramafic
7.1302123,-5.7021575,Alaskan ultramafic
6.980634,-5.5451155,Alaskan ultramafic
6.903687,-5.4688315,Alaskan ultramafic
6.974825,-5.505668,Alaskan ultramafic
7.0088315,-5.560625,Alaskan ultramafic
7.002233,-5.5611677,Alaskan ultramafic
6.993771,-5.5546002,Alaskan ultramafic
6.9578323,-5.46676,Alaskan ultramafic
6.923679,-5.4689384,Alaskan ultramafic
7.0215206,-5.5909553,Alaskan ultramafic
7.00804,-5.567432,Alaskan ultramafic
6.992763,-5.559567,Alaskan ultramafic
7.0303974,-5.587787,Alaskan ultramafic
6.993726,-5.555744,Alaskan ultramafic
7.166848,-5.7510977,Alaskan ultramafic
6.991974,-5.560028,Alaskan ultramafic
7.0974207,-5.681342,Alaskan ultramafic
6.9499545,-5.514362,Alaskan ultramafic
7.0162625,-5.5840664,Alaskan ultramafic
6.9745784,-5.5387697,Alaskan ultramafic
7.057296,-5.6335135,Alaskan ultramafic
6.8872304,-5.4611034,Alaskan ultramafic
6.9281173,-5.498527,Alaskan ultramafic
6.959325,-5.527992,Alaskan ultramafic
6.931095,-5.4769993,Alaskan ultramafic
6.9599385,-5.5182743,Alaskan ultramafic
6.8798018,-5.5070505,Alaskan ultramafic
6.899491,-5.4771385,Alaskan ultramafic
6.9369683,-5.4697914,Alaskan ultramafic
6.9356,-5.501442,Alaskan ultramafic
6.89604,-5.4619436,Alaskan ultramafic
6.9167323,-5.466029,Alaskan ultramafic
6.93317,-5.468836,Alaskan ultramafic
7.1017795,-5.6544247,Alaskan ultramafic
7.001348,-5.5759177,Alaskan ultramafic
7.0323973,-5.5848155,Alaskan ultramafic
7.017074,-5.5772696,Alaskan ultramafic
6.905468,-5.4555984,Alaskan ultramafic
6.989382,-5.538478,Alaskan ultramafic
6.923828,-5.4788666,Alaskan ultramafic
7.0112514,-5.520264,Alaskan ultramafic
