umap1,umap2,cat
11.2059555,-11.337621,Alaskan ultramafic
11.16862,-11.333706,Alaskan ultramafic
11.223071,-11.33595,Alaskan ultramafic
11.109934,-11.336039,Alaskan ultramafic
10.702693,-11.288939,Alaskan ultramafic
10.69065,-11.292357,Alaskan ultramafic
10.642822,-11.227089,Alaskan ultramafic
10.675663,-11.259259,Alaskan ultramafic
10.761133,-11.2864895,Alaskan ultramafic
10.765571,-11.300036,Alaskan ultramafic
10.754287,-11.282711,Alaskan ultramafic
10.680564,-11.318874,Alaskan ultramafic
10.7323475,-11.296839,Alaskan ultramafic
11.042787,-11.322001,Alaskan ultramafic
10.704169,-11.309106,Alaskan ultramafic
10.787376,-11.283474,Alaskan ultramafic
10.766496,-11.30307,Alaskan ultramafic
10.643898,-11.256092,Alaskan ultramafic
10.6096325,-11.226297,Alaskan ultramafic
10.860986,-11.304179,Alaskan ultramafic
10.630909,-11.217755,Alaskan ultramafic
10.723982,-11.2599325,Alaskan ultramafic
10.674712,-11.221489,Alaskan ultramafic
10.643005,-11.232862,Alaskan ultramafic
10.644088,-11.228024,Alaskan ultramafic
10.648691,-11.233323,Alaskan ultramafic
-2.7574217,20.955214,Alaskan ultramafic
-2.7672644,20.97275,Alaskan ultramafic
-2.842271,21.042673,Alaskan ultramafic
11.161328,-11.2957115,Alaskan ultramafic
11.2365,-11.337676,Alaskan ultramafic
11.125693,-11.323571,Alaskan ultramafic
11.227005,-11.337528,Alaskan ultramafic
11.188753,-11.33456,Alaskan ultramafic
-2.7691634,20.975025,Alaskan ultramafic
11.175677,-11.331751,Alaskan ultramafic
10.669263,-11.257752,Alaskan ultramafic
10.602539,-11.230828,Alaskan ultramafic
10.7547035,-11.301349,Alaskan ultramafic
10.649508,-11.23819,Alaskan ultramafic
10.710589,-11.270878,Alaskan ultramafic
10.659523,-11.268696,Alaskan ultramafic
10.8155,-11.280691,Alaskan ultramafic
10.747389,-11.298625,Alaskan ultramafic
11.193753,-11.334178,Alaskan ultramafic
10.804241,-11.316456,Alaskan ultramafic
11.22786,-11.336676,Alaskan ultramafic
11.209789,-11.334232,Alaskan ultramafic
10.773384,-11.270435,Alaskan ultramafic
-2.775217,20.978819,Alaskan ultramafic
10.749349,-11.291828,Alaskan ultramafic
10.771673,-11.313247,Alaskan ultramafic
10.740053,-11.270813,Alaskan ultramafic
10.766451,-11.327308,Alaskan ultramafic
10.736969,-11.356538,Alaskan ultramafic
10.768159,-11.307937,Alaskan ultramafic
11.210357,-11.340383,Alaskan ultramafic
11.200951,-11.337444,Alaskan ultramafic
10.720072,-11.293518,Alaskan ultramafic
10.734437,-11.30887,Alaskan ultramafic
6.2897925,12.935667,Alaskan ultramafic
11.16737,-11.33328,Alaskan ultramafic
11.148289,-11.331157,Alaskan ultramafic
11.197645,-11.334129,Alaskan ultramafic
-2.7828524,20.96638,Alaskan ultramafic
-2.7590346,20.96639,Alaskan ultramafic
-2.7157226,20.923708,Alaskan ultramafic
-2.7724175,20.979778,Alaskan ultramafic
-2.807249,21.013405,Alaskan ultramafic
-2.7732337,20.977764,Alaskan ultramafic
-2.83954,21.045551,Alaskan ultramafic
-2.8004801,21.006191,Alaskan ultramafic
-2.801752,21.00365,Alaskan ultramafic
-2.8013341,21.005747,Alaskan ultramafic
-2.7751076,20.981544,Alaskan ultramafic
-2.7432277,21.028814,Alaskan ultramafic
-2.8190718,21.023874,Alaskan ultramafic
-2.8020706,21.009083,Alaskan ultramafic
-2.783319,20.988295,Alaskan ultramafic
-2.7739055,20.980083,Alaskan ultramafic
11.2047415,-11.3374605,Alaskan ultramafic
10.757338,-11.293039,Alaskan ultramafic
10.746219,-11.289307,Alaskan ultramafic
10.792997,-11.299139,Alaskan ultramafic
10.850611,-11.338056,Alaskan ultramafic
-2.779848,20.986032,Alaskan ultramafic
-2.7443283,20.949545,Alaskan ultramafic
-2.7937074,20.999886,Alaskan ultramafic
-2.790844,20.996403,Alaskan ultramafic
6.269134,12.928267,Alaskan ultramafic
11.173049,-11.30606,Alaskan ultramafic
11.218337,-11.33687,Alaskan ultramafic
10.741568,-11.290044,Alaskan ultramafic
10.711997,-11.273051,Alaskan ultramafic
10.709155,-11.270335,Alaskan ultramafic
10.809332,-11.293476,Alaskan ultramafic
10.532643,-11.1351595,Alaskan ultramafic
10.572959,-11.185314,Alaskan ultramafic
10.652103,-11.236402,Alaskan ultramafic
10.740429,-11.2937155,Alaskan ultramafic
10.675546,-11.2571535,Alaskan ultramafic
-2.7358727,20.944817,Alaskan ultramafic
10.619838,-11.122888,Alaskan ultramafic
-2.761095,20.968977,Alaskan ultramafic
-2.7638428,20.969675,Alaskan ultramafic
10.683466,-11.253289,Alaskan ultramafic
-2.7478004,20.954088,Alaskan ultramafic
11.190293,-11.33281,Alaskan ultramafic
-2.7586951,20.964592,Alaskan ultramafic
-2.760802,20.970903,Alaskan ultramafic
-2.7660673,20.971966,Alaskan ultramafic
-2.7704682,20.976305,Alaskan ultramafic
-2.7864475,20.996574,Alaskan ultramafic
-2.8020213,21.012152,Alaskan ultramafic
-2.7851825,20.990517,Alaskan ultramafic
11.203185,-11.345507,Alaskan ultramafic
11.19293,-11.331526,Alaskan ultramafic
11.211056,-11.328566,Alaskan ultramafic
-2.7744367,20.980692,Alaskan ultramafic
-2.7565937,20.96491,Alaskan ultramafic
-2.7406564,20.948349,Alaskan ultramafic
-2.584474,20.801285,Alaskan ultramafic
-2.739649,20.94773,Alaskan ultramafic
-2.7405725,20.950108,Alaskan ultramafic
-2.77329,20.978235,Alaskan ultramafic
11.227835,-11.336206,Alaskan ultramafic
11.248696,-11.36748,Alaskan ultramafic
-2.596539,20.8157,Alaskan ultramafic
-2.8733168,21.084455,Alaskan ultramafic
-2.784599,20.993477,Alaskan ultramafic
-2.7921908,21.002487,Alaskan ultramafic
